timestamp,sumOpenInterest,sumOpenInterestValue
2025-06-29 15:00:00,79313.53200000,8557810277.58223150
2025-06-29 16:00:00,79032.24100000,8511361453.04765700
2025-06-29 17:00:00,78294.18200000,8415881227.83785800
2025-06-29 18:00:00,78159.46800000,8400902111.13587200
2025-06-29 19:00:00,77908.53500000,8380652273.36400000
2025-06-29 20:00:00,77720.71900000,8343047162.13350000
2025-06-29 21:00:00,77579.55200000,8324991545.98231900
2025-06-29 22:00:00,77362.23400000,8316409210.10640000
2025-06-29 23:00:00,77285.65900000,8349471155.84010000
2025-06-30 00:00:00,77916.54100000,8439165474.60570100
2025-06-30 01:00:00,78279.77900000,8506638677.34664200
2025-06-30 02:00:00,78516.35200000,8515506659.43040000
2025-06-30 03:00:00,78742.28600000,8538199304.00920000
2025-06-30 04:00:00,78989.66000000,8567747754.32200000
2025-06-30 05:00:00,79163.16700000,8571312743.75800000
2025-06-30 06:00:00,79010.40200000,8551517037.58560000
2025-06-30 07:00:00,78000.44300000,8385872944.05715700
2025-06-30 08:00:00,77677.63200000,8355208059.76320000
2025-06-30 09:00:00,77516.89400000,8330272752.54974100
2025-06-30 10:00:00,77538.70600000,8329828108.16800000
2025-06-30 11:00:00,77412.79900000,8329364855.75962000
2025-06-30 12:00:00,77539.79700000,8343910229.55570000
2025-06-30 13:00:00,77583.16100000,8342290856.19798000
2025-06-30 14:00:00,77853.84300000,8368346090.99970000
2025-06-30 15:00:00,76866.85500000,8206019842.39307500
2025-06-30 16:00:00,76246.77800000,8199490018.41892100
2025-06-30 17:00:00,76270.00400000,8202968589.20680000
2025-06-30 18:00:00,76343.53800000,8201028979.51260000
2025-06-30 19:00:00,76468.53500000,8196731088.33150000
2025-06-30 20:00:00,76574.43000000,8247997967.15656950
2025-06-30 21:00:00,76508.50700000,8227288744.29010000
2025-06-30 22:00:00,76351.11500000,8175366697.16927500
2025-06-30 23:00:00,76659.49500000,8206716992.49515600
2025-07-01 00:00:00,76425.99000000,8185783816.79351900
2025-07-01 01:00:00,76484.40500000,8208910571.39950000
2025-07-01 02:00:00,76547.69100000,8203753830.31380000
2025-07-01 03:00:00,76492.26000000,8188519738.33745000
2025-07-01 04:00:00,76425.90300000,8189477245.95375300
2025-07-01 05:00:00,76330.56000000,8154874607.32800000
2025-07-01 06:00:00,76285.61300000,8154253087.74430000
2025-07-01 07:00:00,76271.39600000,8149194424.20120000
2025-07-01 08:00:00,76188.19900000,8161500822.65710000
2025-07-01 09:00:00,76183.61700000,8126209309.28370000
2025-07-01 10:00:00,76550.27800000,8152929342.15451500
2025-07-01 11:00:00,76576.75600000,8150926324.32455500
2025-07-01 12:00:00,76788.76100000,8181842484.55000000
2025-07-01 13:00:00,76791.97800000,8168612855.84942300
2025-07-01 14:00:00,76754.37900000,8194971750.04800500
2025-07-01 15:00:00,75789.16400000,8023237952.86640000
2025-07-01 16:00:00,76162.48800000,8066018756.63520000
2025-07-01 17:00:00,76314.25300000,8092774888.39726600
2025-07-01 18:00:00,76264.67300000,8099589434.75120600
2025-07-01 19:00:00,75742.34500000,8006004410.57203800
2025-07-01 20:00:00,74884.00400000,7888288469.76040000
2025-07-01 21:00:00,74489.66500000,7885727902.24037550
2025-07-01 22:00:00,74452.69800000,7872077336.55480000
2025-07-01 23:00:00,74506.24600000,7865989470.82540000
2025-07-02 00:00:00,74368.38700000,7856127665.90600000
2025-07-02 01:00:00,73950.71400000,7790217826.42894900
2025-07-02 02:00:00,74104.90200000,7830941699.09024600
2025-07-02 03:00:00,74220.79300000,7857250653.51760000
2025-07-02 04:00:00,74392.92400000,7896064953.36000000
2025-07-02 05:00:00,74315.90300000,7903145608.00518100
2025-07-02 06:00:00,74611.64400000,7952919000.17530100
2025-07-02 07:00:00,74860.69200000,8007429003.36480000
2025-07-02 08:00:00,75172.47900000,8045409737.45400000
2025-07-02 09:00:00,76721.05400000,8262332816.89813200
2025-07-02 10:00:00,76844.38200000,8267794641.51480000
2025-07-02 11:00:00,77168.99000000,8318533985.06167900
2025-07-02 12:00:00,77393.61800000,8315147099.83460000
2025-07-02 13:00:00,77028.49000000,8267706620.01900000
2025-07-02 14:00:00,76826.81200000,8276892487.77626100
2025-07-02 15:00:00,77719.70700000,8401228307.72550000
2025-07-02 16:00:00,78752.59300000,8560036721.91290000
2025-07-02 17:00:00,81537.32100000,8915724729.36482800
